Gender,Age,Connect_Date,L_O_S,Dropped_Calls,tariff,Handset,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Dropped_calls_ratio,Usage_Band,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,Tariff_OK,average cost min,Peak ratio,OffPeak ratio,Weekend ratio,Nat-InterNat Ratio,high Dropped calls,No Usage,target,id
F,40.0,15/04/97,42.533333,2.0,CAT 200,S80,323.0,742.199999,279.0,551.7,15.0,74.399999,427.767986,12.979506,2.297833,1.977419,4.96,617.0,1368.299998,2.217666,1796.067984,0.001620745543,MedHigh,168.299998,7.712125,12.979505,141.309901,291.309901,OK,0.162193,0.542425,0.403201,0.054374,0.312627,F,F,0,K113980
F,61.0,13/01/98,33.433333,2.0,CAT 200,WC95,171.0,964.800001,14.0,55.199999,6.0,21.600001,159.532768,0.0,5.642105,3.942857,3.6,191.0,1041.600001,5.453403,1201.132769,0.005235602094,Med,-158.399999,9.631336,0.0,47.85983,197.85983,OK,0.164728,0.926267,0.052995,0.020737,0.153161,F,F,0,K326610
F,38.0,11/01/97,45.666667,1.0,CAT 200,WC95,31.0,683.4,116.0,519.0,20.0,53.4,30.163805,4.308305,22.045161,4.474138,2.67,167.0,1255.8,7.51976,1285.963805,0.002994011976,Med,55.8,7.720975,4.308304,13.357445,163.357445,OK,0.127031,0.544195,0.413282,0.042523,0.02402,F,F,0,K369610
F,56.0,28/09/98,24.833333,2.0,CAT 200,CAS30,212.0,827.4,67.0,332.100001,7.0,18.500001,61.074663,0.0,3.90283,4.956716,2.642857,286.0,1178.000002,4.118881,1239.074665,0.003496503497,Med,-21.999998,8.511885,0.0,18.322399,168.322399,OK,0.135845,0.702377,0.281919,0.015705,0.051846,F,F,1,K316480
M,53.0,26/09/97,37.066667,0.0,CAT 200,BS110,343.0,2358.0,83.0,168.300001,15.0,122.399999,114.090562,136.920117,6.874636,2.027711,8.16,441.0,2648.7,6.006122,2762.790562,0.0,High,1448.7,9.45124,136.920117,171.147286,321.147286,OK,0.11624,0.890248,0.063541,0.046211,0.043074,F,F,0,K365320
F,46.0,26/08/97,38.1,1.0,Play 100,CAS60,90.0,301.8,77.0,369.899999,9.0,23.5,29.756066,13.02564,3.353333,4.803896,2.611111,176.0,695.199999,3.95,724.956065,0.002840909091,Med,95.199999,13.682394,13.025639,24.928065,84.868065,OK,0.117066,0.43412,0.532077,0.033803,0.042802,F,F,0,K382900
M,38.0,14/07/99,15.2,0.0,CAT 200,S50,429.0,1089.599999,158.0,294.0,3.0,36.0,6.447915,19.407591,2.53986,1.860759,12.0,590.0,1419.599999,2.406102,1426.047914,0.0,MedHigh,219.599999,8.837701,19.407591,21.341965,171.341965,OK,0.120152,0.76754,0.207101,0.025359,0.004542,F,F,0,K312390
M,42.0,15/03/98,31.4,1.0,CAT 200,S80,127.0,1014.600001,271.0,447.600001,29.0,104.5,375.09965,30.208804,7.988976,1.651661,3.603448,427.0,1566.700002,3.669087,1941.799652,0.001170960187,MedHigh,366.700002,8.238016,30.208806,142.738701,292.738701,OK,0.150756,0.647603,0.285696,0.066701,0.23942,F,F,0,K140310
M,22.0,05/10/99,12.433333,5.0,CAT 100,S50,343.0,813.599999,55.0,88.499999,0.0,0.0,128.193233,42.537336,2.372012,1.609091,0.0,398.0,902.099998,2.266583,1030.293231,0.006281407035,Med,302.099998,14.018956,42.351265,80.809235,185.809235,OK,0.180346,0.901896,0.098104,0.0,0.142105,F,F,0,K285550
M,29.0,12/07/97,39.6,0.0,CAT 100,S80,122.0,557.400001,99.0,187.2,19.0,39.0,236.230757,22.240061,4.568852,1.890909,2.052632,240.0,783.600001,3.265,1019.830758,0.0,Med,183.600001,12.113323,22.240061,93.109288,198.109288,OK,0.194257,0.711332,0.238897,0.04977,0.301469,F,F,0,K108320
F,53.0,15/02/98,32.333333,1.0,Play 300,ASAD90,141.0,361.200001,325.0,570.599999,31.0,53.400001,203.084636,0.0,2.561702,1.755692,1.722581,497.0,985.200001,1.982294,1188.284637,0.001006036217,Med,-814.799999,10.4324,0.0,81.233854,159.173854,OK,0.133953,0.366626,0.579172,0.054202,0.206135,F,F,1,K158280
M,27.0,07/08/97,38.733333,2.0,Play 100,S80,100.0,223.800001,22.0,310.800001,61.0,122.0,175.064343,6.688386,2.238,14.127273,2.0,183.0,656.600002,3.587978,831.664345,0.005464480874,Med,56.600002,11.816936,6.688386,76.714123,136.654123,OK,0.164314,0.340847,0.473348,0.185806,0.266623,F,F,0,K262380
F,24.0,08/11/96,47.8,2.0,Play 100,S50,75.0,156.6,18.0,80.1,44.0,82.5,82.434577,0.0,2.088,4.45,1.875,137.0,319.2,2.329927,401.634577,0.007299270073,MedLow,-280.8,14.81203,0.0,32.973831,92.913831,OK,0.231339,0.490602,0.25094,0.258459,0.258254,F,F,1,K220260
F,15.0,25/08/99,13.8,1.0,Play 100,BS110,125.0,261.0,13.0,347.1,0.0,0.0,14.31965,1.420725,2.088,26.7,0.0,138.0,608.1,4.406522,622.41965,0.003623188406,Med,8.1,13.584114,1.100313,6.828173,66.768173,OK,0.107272,0.429206,0.570794,0.0,0.023548,F,F,1,K240080
M,40.0,21/01/97,45.333333,1.0,CAT 200,S50,41.0,763.800001,184.0,370.499999,26.0,41.0,280.621202,0.0,18.629268,2.013587,1.576923,251.0,1175.3,4.68247,1455.921202,0.001992031873,Med,-24.7,8.249383,0.0,84.186361,234.186361,OK,0.160851,0.649877,0.315239,0.034885,0.238766,F,F,0,K150270
M,26.0,25/01/96,57.4,0.0,CAT 200,S50,1178.0,2445.6,12.0,345.0,1.0,41.4,87.27533,152.066441,2.076061,28.75,41.4,1191.0,2832.0,2.377834,2919.27533,0.0,High,1632.0,9.317797,152.066441,178.24904,328.24904,OK,0.112442,0.863559,0.121822,0.014619,0.030818,F,F,0,K304510
F,15.0,15/05/98,29.366667,2.0,CAT 100,BS110,54.0,544.200001,12.0,31.200001,34.0,70.799999,153.965082,6.200751,10.077778,2.6,2.082353,100.0,646.200001,6.462,800.165083,0.01,Med,46.200001,13.421541,6.200752,52.390277,157.390277,OK,0.196697,0.842154,0.048282,0.109564,0.238262,F,F,0,K347980
F,20.0,07/03/99,19.5,1.0,Play 100,BS210,32.0,69.0,120.0,268.2,4.0,13.2,113.239508,0.0,2.15625,2.235,3.3,156.0,350.4,2.246154,463.639508,0.003205128205,MedLow,-249.6,8.938356,0.0,45.295803,105.235803,OK,0.226978,0.196918,0.765411,0.037671,0.323172,F,F,0,K264140
M,54.0,07/08/96,50.9,1.0,CAT 100,S50,407.0,685.2,4.0,83.100001,62.0,117.600001,61.231649,36.407956,1.683538,20.775,1.896774,473.0,885.900002,1.872939,947.131651,0.001057082452,Med,285.900002,12.734507,36.407957,54.777451,159.777451,OK,0.168696,0.773451,0.093803,0.132746,0.069118,F,F,0,K342910
F,15.0,20/12/98,22.066667,2.0,CAT 200,WC95,525.0,1226.4,41.0,76.500001,13.0,59.4,63.440617,15.420466,2.336,1.865854,4.569231,579.0,1362.300001,2.35285,1425.740618,0.001727115717,MedHigh,162.300001,9.501211,15.420466,34.452651,184.452651,OK,0.129373,0.900242,0.056155,0.043603,0.046569,F,F,0,K357660
M,34.0,10/08/96,50.8,6.0,CAT 50,S50,102.0,190.2,54.0,95.400001,2.0,73.8,29.69843,6.113539,1.864706,1.766667,36.9,158.0,359.400001,2.274684,389.098431,0.01898734177,MedLow,59.400001,10.292154,6.113539,15.023068,98.423068,OK,0.252952,0.529215,0.265442,0.205342,0.082633,F,F,0,K373760
F,30.0,03/09/99,13.5,3.0,CAT 200,ASAD170,910.0,1404.6,122.0,433.199999,3.0,12.0,288.720546,57.16048,1.543516,3.55082,4.0,1035.0,1849.799999,1.787246,2138.520545,0.001449275362,MedHigh,649.799999,8.796627,57.16048,143.776644,293.776644,OK,0.137374,0.759325,0.234187,0.006487,0.156082,F,F,0,K115510
F,72.0,16/10/96,48.566667,14.0,CAT 200,SOP10,85.0,1363.8,443.0,792.0,33.0,91.2,567.849068,84.123445,16.044706,1.78781,2.763636,561.0,2247.0,4.005348,2814.849068,0.01247771836,High,1047.0,8.034713,84.123445,254.478165,404.478165,OK,0.143694,0.606943,0.35247,0.040587,0.252714,T,F,0,K408610
M,42.0,27/04/97,42.133333,3.0,CAT 100,S80,280.0,435.6,79.0,232.500001,6.0,48.6,189.031238,12.927859,1.555714,2.943038,8.1,365.0,716.700001,1.963562,905.731239,0.004109589041,Med,116.700001,11.077857,12.927859,69.63723,174.63723,OK,0.192814,0.607786,0.324404,0.067811,0.263752,F,F,0,K103990
M,23.0,18/03/97,43.466667,0.0,Play 100,ASAD170,111.0,206.4,70.0,458.700001,6.0,21.5,208.039359,9.536596,1.859459,6.552857,3.583333,187.0,686.600001,3.671658,894.63936,0.0,Med,86.600001,11.012234,9.536595,92.752339,152.692339,OK,0.170675,0.300612,0.668075,0.031314,0.302999,F,F,0,K204510
F,35.0,17/11/96,47.5,1.0,CAT 200,S80,527.0,1235.400001,65.0,272.7,6.0,16.499999,479.534102,29.381346,2.344213,4.195385,2.75,598.0,1524.6,2.549498,2004.134102,0.0008361204013,MedHigh,324.6,9.051555,29.381346,173.241577,323.241577,OK,0.161287,0.810311,0.178867,0.010823,0.314531,F,F,0,K121010
F,25.0,23/06/96,52.4,2.0,CAT 100,BS110,221.0,492.6,75.0,179.4,2.0,8.4,65.214119,9.840848,2.228959,2.392,4.2,298.0,680.4,2.283221,745.614119,0.003355704698,Med,80.4,12.239859,9.840847,29.405082,134.405082,OK,0.180261,0.723986,0.263668,0.012346,0.095847,F,F,0,K283830
F,43.0,01/07/97,39.966667,0.0,CAT 200,S80,1111.0,1872.600001,22.0,312.3,37.0,81.600001,290.052099,97.382532,1.685509,14.195455,2.205405,1170.0,2266.500002,1.937179,2556.552101,0.0,High,1066.500002,9.131039,97.382532,184.398161,334.398161,OK,0.1308,0.826208,0.13779,0.036003,0.127974,F,F,0,K129680
F,21.0,22/03/96,55.5,1.0,CAT 100,WC95,281.0,531.0,154.0,321.599999,20.0,91.199999,19.504509,36.532848,1.88968,2.088312,4.56,455.0,943.799998,2.074286,963.304507,0.001098901099,Med,343.799998,10.626192,36.532848,42.384201,147.384201,OK,0.152999,0.562619,0.34075,0.096631,0.020666,F,F,0,K341320
M,26.0,28/09/98,24.833333,1.0,CAT 100,BS110,321.0,625.799999,17.0,249.0,1.0,3.6,78.158564,33.754097,1.949533,14.647059,3.6,339.0,878.399999,2.59115,956.558563,0.001474926254,Med,278.399999,12.124317,33.754098,57.201667,162.201667,OK,0.169568,0.712432,0.28347,0.004098,0.088978,F,F,0,K290510
M,20.0,22/02/96,56.466667,10.0,CAT 100,CAS30,149.0,529.2,209.0,379.5,7.0,33.0,104.883143,36.287255,3.551678,1.815789,4.714286,365.0,941.7,2.58,1046.583143,0.01369863014,Med,341.7,10.619624,36.287255,67.752198,172.752198,OK,0.165063,0.561962,0.402995,0.035043,0.111376,F,F,1,K297760
F,51.0,03/12/99,10.466667,0.0,CAT 200,BS110,492.0,913.2,66.0,213.9,30.0,108.0,78.25273,3.0526,1.856098,3.240909,3.6,588.0,1235.1,2.10051,1313.35273,0.0,Med,35.1,8.696867,3.0526,26.528419,176.528419,OK,0.134411,0.739373,0.173184,0.087442,0.063357,F,F,0,K358570
M,13.0,11/06/96,52.8,0.0,CAT 200,ASAD170,575.0,874.200001,86.0,345.900001,5.0,22.200001,339.445101,3.603315,1.520348,4.022093,4.44,666.0,1242.300003,1.865315,1581.745104,0.0,Med,42.300003,8.518474,3.603315,105.436845,255.436845,OK,0.161491,0.703695,0.278435,0.01787,0.273239,F,F,0,K171320
M,67.0,11/01/97,45.666667,10.0,CAT 100,S50,119.0,315.600001,12.0,127.199999,66.0,108.0,42.169516,0.0,2.652101,10.6,1.636364,197.0,550.8,2.795939,592.969516,0.02538071066,Med,-49.2,10.729848,0.0,12.650855,117.650855,OK,0.19841,0.572985,0.230937,0.196078,0.07656,F,F,0,K341980
M,35.0,14/03/98,31.433333,0.0,Play 300,S80,54.0,106.8,403.0,606.9,22.0,103.2,54.07665,0.0,1.977778,1.505955,4.690909,479.0,816.9,1.705428,870.97665,0.0,Med,-983.1,5.006978,0.0,21.63066,99.57066,OK,0.114321,0.130738,0.742931,0.126331,0.066197,F,F,0,K391680
M,51.0,20/06/98,28.166667,1.0,CAT 200,S80,579.0,1173.6,289.0,487.2,16.0,90.0,476.695008,46.000672,2.026943,1.685813,5.625,884.0,1750.8,1.980543,2227.495008,0.0005656108597,MedHigh,550.8,8.351611,46.000672,189.009174,339.009174,OK,0.152193,0.670322,0.278273,0.051405,0.272273,F,F,0,K132000
M,17.0,17/07/99,15.1,7.0,CAT 100,BS110,56.0,387.6,138.0,307.2,24.0,54.6,110.673438,15.197174,6.921429,2.226087,2.275,218.0,749.4,3.437615,860.073438,0.01605504587,Med,149.4,10.172138,15.197174,48.399205,153.399205,OK,0.178356,0.517214,0.409928,0.072858,0.147683,F,F,0,K345530
M,28.0,08/10/96,48.833333,1.0,CAT 200,S80,388.0,592.8,277.0,522.0,7.0,66.0,361.956085,0.0,1.527835,1.884477,9.428571,672.0,1180.8,1.757143,1542.756085,0.000744047619,Med,-19.2,7.510163,0.0,108.586825,258.586825,OK,0.167614,0.502033,0.442073,0.055894,0.306535,F,F,0,K117990
M,56.0,10/03/97,43.733333,2.0,Play 100,S80,3.0,43.2,250.0,428.399999,30.0,60.600001,165.045668,0.0,14.4,1.7136,2.02,283.0,532.2,1.880565,697.245668,0.003533568905,Med,-67.8,6.62345,0.0,66.018267,125.958267,OK,0.180651,0.081172,0.804961,0.113867,0.31012,F,F,0,K272270
F,28.0,22/05/97,41.3,6.0,CAT 200,WC95,81.0,1156.8,243.0,507.0,21.0,96.0,161.121029,46.389155,14.281481,2.08642,4.571429,345.0,1759.8,5.10087,1920.921029,0.008695652174,MedHigh,559.8,8.286737,46.389154,94.725463,244.725463,OK,0.1274,0.657347,0.288101,0.054552,0.091556,F,F,0,K369630
M,28.0,10/07/96,51.833333,1.0,CAT 200,ASAD170,261.0,1014.599999,1.0,27.6,5.0,15.0,182.982358,0.0,3.887356,27.6,3.0,267.0,1057.199999,3.959551,1240.182357,0.001872659176,Med,-142.800001,9.798524,0.0,54.894707,204.894707,OK,0.165213,0.959705,0.026107,0.014188,0.173082,F,F,0,K132390
M,41.0,14/03/96,55.766667,10.0,CAT 100,S50,61.0,450.6,13.0,48.9,7.0,66.0,176.767802,0.0,7.386885,3.761538,9.428571,81.0,565.5,6.981481,742.267802,0.06172839506,Med,-34.5,12.96817,0.0,53.030341,158.030341,OK,0.212902,0.796817,0.086472,0.116711,0.312587,F,F,0,K346080
M,33.0,26/12/96,46.2,0.0,CAT 200,BS110,102.0,933.0,160.0,249.9,26.0,42.0,130.318694,2.19331,9.147059,1.561875,1.615385,288.0,1224.9,4.253125,1355.218694,0.0,Med,24.9,8.808474,2.19331,41.288918,191.288918,OK,0.14115,0.761695,0.204017,0.034289,0.106391,F,F,0,K321530
M,16.0,08/11/98,23.466667,13.0,CAT 200,SOP10,233.0,871.200002,235.0,397.799998,21.0,54.6,342.944306,10.247707,3.739056,1.692766,2.6,489.0,1323.6,2.706748,1666.544306,0.01329243354,MedHigh,123.6,8.291024,10.247706,113.130998,263.130998,OK,0.15789,0.658205,0.300544,0.041251,0.2591,T,F,1,K409810
M,23.0,16/04/99,18.166667,2.0,CAT 200,S50,737.0,1316.399999,174.0,594.0,0.0,0.0,9.94975,63.355284,1.78616,3.413793,0.0,911.0,1910.399999,2.097036,1920.349749,0.001097694841,MedHigh,710.399999,8.445352,59.995779,62.980704,212.980704,OK,0.110907,0.68907,0.31093,0.0,0.005208,F,F,0,K307860
M,46.0,10/01/99,21.366667,0.0,CAT 100,ASAD170,257.0,508.2,64.0,363.0,13.0,41.5,230.339833,33.046433,1.977432,5.671875,3.192308,334.0,912.7,2.732635,1143.039833,0.0,Med,312.7,10.568095,33.046432,102.148382,207.148382,OK,0.181226,0.556809,0.397721,0.045469,0.252372,F,F,0,K106000
M,21.0,26/05/96,53.333333,2.0,Play 100,CAS60,46.0,116.399999,42.0,414.299999,5.0,8.4,13.182411,0.0,2.530435,9.864286,1.68,93.0,539.099998,5.796774,552.282409,0.01075268817,Med,-60.900002,9.318308,0.0,5.272964,65.212964,OK,0.118079,0.215915,0.768503,0.015582,0.024453,F,F,0,K381340
F,53.0,21/02/96,56.5,0.0,CAT 200,WC95,224.0,2388.0,160.0,437.1,3.0,34.2,9.387609,152.254833,10.660714,2.731875,11.4,387.0,2859.3,7.388372,2868.687609,0.0,High,1659.3,9.175847,152.254833,155.071116,305.071116,OK,0.106345,0.835169,0.15287,0.011961,0.003283,F,F,0,K322520
M,21.0,14/06/96,52.7,10.0,CAT 200,S50,265.0,1786.8,95.0,170.7,10.0,90.599999,62.457393,79.3999,6.742642,1.796842,9.06,370.0,2048.099999,5.535405,2110.557392,0.01351351351,High,848.099999,9.362092,79.3999,98.137117,248.137117,OK,0.117569,0.872418,0.083346,0.044236,0.030495,F,F,0,K365100
M,12.0,11/10/96,48.733333,0.0,CAT 100,BS210,112.0,701.4,57.0,213.900001,30.0,68.5,208.88944,46.553013,6.2625,3.752632,2.283333,199.0,983.800001,4.943719,1192.689441,0.0,Med,383.800001,12.129498,46.553013,109.219845,214.219845,High CAT 100,0.179611,0.71295,0.217422,0.069628,0.212329,F,F,1,K256080
F,24.0,12/09/97,37.533333,0.0,Play 100,CAS60,108.0,338.399999,79.0,307.2,20.0,44.399999,98.058153,13.327826,3.133333,3.888608,2.22,207.0,689.999998,3.333333,788.058151,0.0,Med,89.999998,14.808696,13.327826,52.551087,112.491087,OK,0.142745,0.490435,0.445217,0.064348,0.142113,F,F,0,K383690
F,22.0,03/11/96,47.966667,0.0,Play 100,BS210,76.0,249.6,84.0,350.4,2.0,22.2,173.775464,2.891138,3.284211,4.171429,11.1,162.0,622.2,3.840741,795.975464,0.0,Med,22.2,13.023144,2.891138,72.401323,132.341323,OK,0.166263,0.401157,0.563163,0.03568,0.279292,F,F,0,K271950
M,56.0,02/10/99,12.533333,0.0,Play 100,S50,28.0,51.6,9.0,220.799999,1.0,14.4,72.224287,0.0,1.842857,24.533333,14.4,38.0,286.799999,7.547368,359.024286,0.0,MedLow,-313.200001,8.598326,0.0,28.889715,88.829715,OK,0.24742,0.179916,0.769874,0.050209,0.251828,F,F,1,K216860
M,54.0,14/10/96,48.633333,0.0,CAT 200,ASAD170,121.0,709.8,121.0,233.1,42.0,95.500001,211.698028,0.0,5.866116,1.926446,2.27381,284.0,1038.400001,3.656338,1250.098029,0.0,Med,-161.599999,8.417758,0.0,63.509408,213.509408,OK,0.170794,0.683552,0.22448,0.091968,0.203869,F,F,0,K132310
M,24.0,14/05/97,41.566667,2.0,CAT 200,S50,685.0,1304.399999,75.0,195.3,16.0,55.8,99.445382,32.680631,1.904234,2.604,3.4875,776.0,1555.499999,2.00451,1654.945381,0.001288659794,MedHigh,355.499999,9.192864,32.680632,62.514246,212.514246,OK,0.128412,0.838573,0.125554,0.035873,0.063931,F,F,0,K360620
F,34.0,26/11/97,35.033333,1.0,CAT 200,S50,144.0,1138.2,169.0,387.300001,2.0,19.2,211.868616,29.934475,7.904167,2.291716,9.6,315.0,1544.700001,4.90381,1756.568617,0.001587301587,MedHigh,344.700001,8.684211,29.934474,93.495059,243.495059,OK,0.13862,0.736842,0.250728,0.01243,0.137158,F,F,0,K140140
M,22.0,27/01/98,32.966667,2.0,Play 300,ASAD170,107.0,203.399999,345.0,600.0,0.0,0.0,230.995088,0.0,1.900935,1.73913,0.0,452.0,803.399999,1.777434,1034.395087,0.002212389381,Med,-996.600001,7.823002,0.0,92.398035,170.338035,OK,0.164674,0.253174,0.746826,0.0,0.287522,F,F,0,K206930
M,31.0,02/11/96,48.0,2.0,CAT 100,S50,66.0,453.6,69.0,334.500001,6.0,44.0,88.653719,24.257393,6.872727,4.847826,7.333333,141.0,832.100001,5.901418,920.75372,0.007092198582,Med,232.100001,10.451268,24.257393,50.853509,155.853509,OK,0.169267,0.545127,0.401995,0.052878,0.106542,F,F,0,K294070
M,35.0,03/12/99,10.466667,11.0,CAT 200,ASAD90,583.0,1369.199999,84.0,258.299999,22.0,34.800001,480.92454,42.154319,2.348542,3.075,1.581818,689.0,1662.299999,2.412627,2143.224539,0.007982583454,MedHigh,462.299999,9.11839,42.154318,186.43168,336.43168,OK,0.156975,0.823678,0.155387,0.020935,0.289313,F,F,1,K121040
F,32.0,03/06/99,16.566667,0.0,Play 100,BS110,4.0,174.6,35.0,336.0,13.0,28.200001,95.845064,0.0,43.65,9.6,2.169231,52.0,538.800001,10.361538,634.645065,0.0,Med,-61.199999,11.481069,0.0,38.338026,98.278026,OK,0.154855,0.324053,0.623608,0.052339,0.177886,F,F,0,K248770
F,35.0,13/04/99,18.266667,1.0,CAT 200,BS110,500.0,825.6,123.0,205.800001,3.0,6.6,35.762521,0.0,1.6512,1.673171,2.2,626.0,1038.000001,1.658147,1073.762522,0.0007987220447,Med,-161.999999,8.976879,0.0,10.728756,160.728756,OK,0.149687,0.795376,0.198266,0.006358,0.034453,F,F,1,K315130
F,29.0,10/04/98,30.533333,6.0,Play 300,S80,87.0,525.6,273.0,581.1,2.0,28.8,231.962617,0.0,6.041379,2.128571,14.4,362.0,1135.5,3.13674,1367.462617,0.008287292818,Med,-664.5,12.646235,0.0,92.785047,170.725047,OK,0.124848,0.46288,0.511757,0.025363,0.204282,F,F,0,K163800
